Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.23643,0.59507,0.86394,0,0,0,16.325,0.40329,1.9695E-05,-3.9743E-05,1.6072,-1.0356E-05,1.766,0,0,0,0,0,0,package://Bin/meshes/base_link.STL,254,254,254,1,0,0,0,0,0,0,package://Bin/meshes/base_link.STL,,Bin-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
image_link,0.3,0.15,0.0075,0,0,0,2.7,0.020301,3.4694E-18,-1.7219E-19,0.081051,-3.3881E-20,0.10125,0,0,0,0,0,0,package://Bin/meshes/image_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bin/meshes/image_link.STL,,TapaBin-1,Origin_image_joint,Axis_image_joint,image_joint,fixed,-0.063587,-0.76004,0.44507,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
